更新时间: 2026-07-04 10:03:38（北京时间）

更新时间,#genre#
2026-07-04 10:03:38,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV1,http://58.35.123.183:3333/rtp/233.18.204.20:5140$上海市电信
CCTV1,http://58.35.63.18:4022/rtp/233.18.204.20:5140$上海市电信
CCTV1,http://101.81.76.108:4022/rtp/233.18.204.20:5140$上海市电信
CCTV16,http://58.35.123.183:3333/rtp/233.18.204.114:5140$上海市电信
CCTV16,http://58.35.123.183:3333/rtp/233.18.204.215:5140$上海市电信
CCTV16,http://58.35.63.18:4022/rtp/233.18.204.114:5140$上海市电信
CCTV16,http://58.35.63.18:4022/rtp/233.18.204.215:5140$上海市电信
CCTV16,http://101.81.76.108:4022/rtp/233.18.204.114:5140$上海市电信
CCTV16,http://101.81.76.108:4022/rtp/233.18.204.215:5140$上海市电信
CCTV4K,http://58.35.123.183:3333/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://58.35.123.183:3333/rtp/233.18.204.204:5140$上海市电信
CCTV4K,http://58.35.63.18:4022/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://58.35.63.18:4022/rtp/233.18.204.204:5140$上海市电信
CCTV4K,http://101.81.76.108:4022/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://101.81.76.108:4022/rtp/233.18.204.204:5140$上海市电信

卫视频道,#genre#
湖南卫视,http://58.35.123.183:3333/rtp/233.18.204.227:5140$上海市电信
湖南卫视,http://58.35.63.18:4022/rtp/233.18.204.227:5140$上海市电信
湖南卫视,http://101.81.76.108:4022/rtp/233.18.204.227:5140$上海市电信
浙江卫视,http://58.35.123.183:3333/rtp/233.18.204.229:5140$上海市电信
浙江卫视,http://58.35.63.18:4022/rtp/233.18.204.229:5140$上海市电信
浙江卫视,http://101.81.76.108:4022/rtp/233.18.204.229:5140$上海市电信
东方卫视,http://58.35.123.183:3333/rtp/233.18.204.224:5140$上海市电信
东方卫视,http://58.35.63.18:4022/rtp/233.18.204.224:5140$上海市电信
东方卫视,http://101.81.76.108:4022/rtp/233.18.204.224:5140$上海市电信
深圳卫视,http://58.35.123.183:3333/rtp/233.18.204.219:5140$上海市电信
深圳卫视,http://58.35.63.18:4022/rtp/233.18.204.219:5140$上海市电信
深圳卫视,http://101.81.76.108:4022/rtp/233.18.204.219:5140$上海市电信
北京卫视,http://58.35.123.183:3333/rtp/233.18.204.209:5140$上海市电信
北京卫视,http://58.35.63.18:4022/rtp/233.18.204.209:5140$上海市电信
北京卫视,http://101.81.76.108:4022/rtp/233.18.204.209:5140$上海市电信
广东卫视,http://58.35.123.183:3333/rtp/233.18.204.218:5140$上海市电信
广东卫视,http://58.35.63.18:4022/rtp/233.18.204.218:5140$上海市电信
广东卫视,http://101.81.76.108:4022/rtp/233.18.204.218:5140$上海市电信
四川卫视,http://58.35.123.183:3333/rtp/233.18.204.225:5140$上海市电信
四川卫视,http://58.35.63.18:4022/rtp/233.18.204.225:5140$上海市电信
四川卫视,http://101.81.76.108:4022/rtp/233.18.204.225:5140$上海市电信
山东卫视,http://58.35.123.183:3333/rtp/233.18.204.228:5140$上海市电信
山东卫视,http://58.35.63.18:4022/rtp/233.18.204.228:5140$上海市电信
山东卫视,http://101.81.76.108:4022/rtp/233.18.204.228:5140$上海市电信

数字频道,#genre#
欢笑剧场,http://58.35.123.183:3333/rtp/233.18.204.115:5140$上海市电信
欢笑剧场,http://58.35.123.183:3333/rtp/233.18.204.205:5140$上海市电信
欢笑剧场,http://58.35.63.18:4022/rtp/233.18.204.115:5140$上海市电信
欢笑剧场,http://58.35.63.18:4022/rtp/233.18.204.205:5140$上海市电信
欢笑剧场,http://101.81.76.108:4022/rtp/233.18.204.115:5140$上海市电信
欢笑剧场,http://101.81.76.108:4022/rtp/233.18.204.205:5140$上海市电信

北京频道,#genre#
茶频道HD,http://58.35.123.183:3333/rtp/233.18.204.43:5140$上海市电信
茶频道HD,http://58.35.63.18:4022/rtp/233.18.204.43:5140$上海市电信
茶频道HD,http://101.81.76.108:4022/rtp/233.18.204.43:5140$上海市电信

河南省级,#genre#

河南市县,#genre#

